epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,1410.5,1.22463,0.81502,1.13651,0.80276,0.65722,0.74528,0.41197,1.44702,0.94037,1.28598,0.00901,0.00901,0.00901
152,1419.73,1.21216,0.81462,1.13552,0.80511,0.66017,0.74696,0.41695,1.43997,0.93125,1.27667,0.0090034,0.0090034,0.0090034
153,1428.94,1.23356,0.81869,1.14173,0.79276,0.65957,0.74946,0.41688,1.44776,0.94154,1.27961,0.0089968,0.0089968,0.0089968
154,1438.22,1.21764,0.81513,1.1431,0.80232,0.66032,0.74723,0.41818,1.43359,0.93983,1.28093,0.0089902,0.0089902,0.0089902
155,1447.44,1.21973,0.81674,1.14165,0.80447,0.65736,0.74213,0.40874,1.4549,0.94206,1.28457,0.0089836,0.0089836,0.0089836
156,1456.64,1.20781,0.80796,1.1369,0.82565,0.64885,0.7482,0.41714,1.43628,0.928,1.27382,0.008977,0.008977,0.008977
157,1465.84,1.20311,0.80414,1.1373,0.80037,0.66855,0.74548,0.41941,1.43456,0.92456,1.27829,0.0089704,0.0089704,0.0089704
158,1475.1,1.21199,0.81174,1.13659,0.81526,0.65204,0.74518,0.41742,1.44501,0.9318,1.28322,0.0089638,0.0089638,0.0089638
159,1484.38,1.21226,0.80719,1.12984,0.81443,0.66269,0.74944,0.41752,1.44329,0.92961,1.28241,0.0089572,0.0089572,0.0089572
160,1493.58,1.20901,0.81223,1.13704,0.80745,0.66642,0.74811,0.4131,1.46413,0.93555,1.2874,0.0089506,0.0089506,0.0089506
161,1502.78,1.20785,0.80714,1.12847,0.80586,0.6589,0.74826,0.41661,1.44754,0.91905,1.27936,0.008944,0.008944,0.008944
162,1511.92,1.2194,0.81155,1.13695,0.81139,0.67113,0.75009,0.41818,1.42688,0.92141,1.26685,0.0089374,0.0089374,0.0089374
163,1521.11,1.21937,0.81027,1.13587,0.81942,0.65727,0.75003,0.41832,1.43519,0.91191,1.27136,0.0089308,0.0089308,0.0089308
164,1530.4,1.20629,0.81299,1.13282,0.80436,0.6647,0.7483,0.41947,1.42387,0.92179,1.26308,0.0089242,0.0089242,0.0089242
165,1539.62,1.19632,0.79696,1.12859,0.80402,0.66688,0.74903,0.41312,1.4595,0.91769,1.2792,0.0089176,0.0089176,0.0089176
166,1548.83,1.214,0.80796,1.13266,0.80351,0.66517,0.7492,0.41837,1.43279,0.91736,1.27417,0.008911,0.008911,0.008911
167,1558.03,1.20163,0.797,1.12411,0.80408,0.66753,0.74903,0.42085,1.42452,0.91313,1.26514,0.0089044,0.0089044,0.0089044
168,1567.22,1.21092,0.8086,1.13978,0.81223,0.66827,0.75202,0.41357,1.45391,0.91612,1.28017,0.0088978,0.0088978,0.0088978
169,1576.49,1.20865,0.80633,1.13253,0.81095,0.66372,0.75326,0.42016,1.4409,0.90845,1.2763,0.0088912,0.0088912,0.0088912
170,1585.72,1.19921,0.80075,1.12911,0.80701,0.66664,0.75318,0.42329,1.41491,0.91813,1.26904,0.0088846,0.0088846,0.0088846
171,1594.9,1.20707,0.80764,1.14367,0.80665,0.66507,0.75053,0.41622,1.44,0.92159,1.27693,0.008878,0.008878,0.008878
172,1604.11,1.20905,0.80135,1.12514,0.81791,0.66677,0.75266,0.42415,1.41788,0.92586,1.26686,0.0088714,0.0088714,0.0088714
173,1613.31,1.19176,0.79373,1.12903,0.81888,0.66458,0.75632,0.42943,1.41296,0.91603,1.26364,0.0088648,0.0088648,0.0088648
174,1622.57,1.20205,0.80193,1.12925,0.81924,0.66163,0.75221,0.42414,1.42425,0.91432,1.26656,0.0088582,0.0088582,0.0088582
175,1631.78,1.21716,0.80732,1.1366,0.81129,0.66461,0.75205,0.41998,1.44105,0.91673,1.26861,0.0088516,0.0088516,0.0088516
176,1640.99,1.19893,0.80297,1.12678,0.81567,0.66384,0.74989,0.41847,1.43811,0.91149,1.2705,0.008845,0.008845,0.008845
177,1650.21,1.20903,0.8075,1.12945,0.81929,0.66391,0.75358,0.42439,1.41745,0.90633,1.26524,0.0088384,0.0088384,0.0088384
178,1659.41,1.20692,0.80236,1.13266,0.81627,0.6639,0.75368,0.42109,1.4264,0.90496,1.26615,0.0088318,0.0088318,0.0088318
179,1668.72,1.19716,0.79745,1.12478,0.81168,0.6722,0.75267,0.423,1.41762,0.90463,1.26028,0.0088252,0.0088252,0.0088252
180,1677.9,1.20332,0.80376,1.12763,0.81677,0.66765,0.75237,0.42476,1.41501,0.90977,1.25785,0.0088186,0.0088186,0.0088186
