epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1934.25,1.15776,0.76407,1.24438,0.85935,0.72549,0.81968,0.4742,1.4034,0.92886,1.41826,0.0091948,0.0091948,0.0091948
124,1948.76,1.15464,0.76966,1.23544,0.84186,0.73516,0.81727,0.47462,1.3913,0.95675,1.41588,0.0091882,0.0091882,0.0091882
125,1964.81,1.16159,0.76152,1.24564,0.84283,0.71889,0.80396,0.4742,1.41178,0.97894,1.43557,0.0091816,0.0091816,0.0091816
126,1979.79,1.15224,0.77641,1.24953,0.84338,0.72956,0.81148,0.47819,1.39738,0.95465,1.41586,0.009175,0.009175,0.009175
127,1994.59,1.15343,0.77062,1.24208,0.84683,0.72986,0.81604,0.47473,1.40367,0.95311,1.4119,0.0091684,0.0091684,0.0091684
128,2010.82,1.16019,0.77362,1.25991,0.85001,0.72464,0.81593,0.48338,1.38399,0.92759,1.40706,0.0091618,0.0091618,0.0091618
129,2027.21,1.13635,0.75492,1.22995,0.85405,0.72513,0.81885,0.48444,1.37678,0.9275,1.40664,0.0091552,0.0091552,0.0091552
130,2041.81,1.15514,0.76134,1.24666,0.8613,0.711,0.8102,0.47224,1.41901,0.94811,1.41706,0.0091486,0.0091486,0.0091486
131,2056.51,1.11238,0.7506,1.22273,0.86775,0.71535,0.81958,0.48263,1.38957,0.9217,1.40658,0.009142,0.009142,0.009142
132,2072.54,1.12788,0.74641,1.23652,0.86327,0.71528,0.8236,0.48729,1.38436,0.93943,1.40072,0.0091354,0.0091354,0.0091354
133,2088.82,1.14535,0.75909,1.23231,0.85903,0.7105,0.81636,0.48786,1.36673,0.92303,1.392,0.0091288,0.0091288,0.0091288
134,2104.51,1.12859,0.75257,1.23815,0.83177,0.72303,0.8081,0.48035,1.37056,0.94082,1.39796,0.0091222,0.0091222,0.0091222
135,2119.67,1.10521,0.74402,1.2246,0.84225,0.722,0.81057,0.48206,1.36518,0.93507,1.39338,0.0091156,0.0091156,0.0091156
136,2135.14,1.15207,0.76552,1.23769,0.84353,0.72458,0.81678,0.48976,1.35923,0.94662,1.39447,0.009109,0.009109,0.009109
137,2151.13,1.13992,0.74645,1.22602,0.84075,0.73128,0.81657,0.48266,1.39189,0.91596,1.40335,0.0091024,0.0091024,0.0091024
